id,random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
401.bzip2-226B_682,0.118027,1348080,0.101856,1145584,0.082145,900496,0.060238,603264,0.040162,364848,0.024296,224208,0.011603,86608,0.004768,34400,0.000000,0,12132128
401.bzip2-277B_0,0.027896,726544,0.023075,603904,0.018865,489584,0.015142,396784,0.011603,298832,0.008002,199328,0.003304,103792,0.000000,0,0.000000,0,30128224
401.bzip2-277B_68,0.026614,673664,0.022343,582800,0.018804,501072,0.015569,417552,0.012213,318272,0.008552,215280,0.003609,106800,0.000000,0,0.000000,0,30032096
401.bzip2-277B_136,0.023563,700224,0.019719,608672,0.016546,511216,0.013617,424064,0.010749,326512,0.007758,226512,0.003731,142992,0.000000,0,0.000000,0,35062800
401.bzip2-277B_213,0.040223,744400,0.033632,623840,0.027408,513312,0.020939,378592,0.014288,238704,0.008369,123488,0.003304,60112,0.000000,0,0.000000,0,21069184
401.bzip2-277B_261,0.023868,670352,0.019902,571504,0.016119,461008,0.012396,338192,0.009040,232800,0.006233,161728,0.002510,97248,0.000000,0,0.000000,0,32333584
401.bzip2-277B_329,0.036561,641168,0.031679,565072,0.025577,457280,0.017705,284992,0.010199,127536,0.005623,67824,0.001900,45376,0.000000,0,0.000000,0,19086912
401.bzip2-277B_369,0.033876,656368,0.029361,582016,0.024479,481248,0.018804,355936,0.012640,216848,0.007575,106672,0.003243,65280,0.000000,0,0.000000,0,21514272
401.bzip2-277B_414,0.033632,611568,0.029116,542704,0.023441,434992,0.016241,271056,0.009589,120608,0.005745,79136,0.002327,52416,0.000000,0,0.000000,0,19904400
401.bzip2-277B_455,0.034303,642656,0.029666,566080,0.024479,469040,0.018010,328448,0.011237,171632,0.006416,85056,0.002449,54640,0.000000,0,0.000000,0,20689040
401.bzip2-277B_498,0.035219,629552,0.030337,552096,0.024540,445456,0.017400,288032,0.010504,140176,0.006111,78544,0.002266,49520,0.000000,0,0.000000,0,19644512
401.bzip2-277B_539,0.043579,716448,0.037110,615136,0.030032,488608,0.022221,341248,0.014471,200208,0.008308,98640,0.003182,56608,0.000000,0,0.000000,0,18075072
401.bzip2-277B_579,0.044799,736208,0.037782,631520,0.031008,522784,0.023441,383104,0.015264,225232,0.008491,104000,0.003060,57040,0.000000,0,0.000000,0,18680304
401.bzip2-277B_622,0.022892,658960,0.018620,547264,0.014715,417328,0.011115,303680,0.008247,216816,0.005867,163104,0.002449,97280,0.000000,0,0.000000,0,33291760
401.bzip2-277B_691,0.035585,678720,0.030520,599600,0.025699,511648,0.020207,400512,0.013861,246656,0.007758,110640,0.002877,53552,0.000000,0,0.000000,0,21893872
401.bzip2-38B_0,0.042969,1113680,0.033998,903328,0.026981,719552,0.021000,572144,0.015020,403024,0.008857,216240,0.003792,69952,0.000000,0,0.000000,0,31636336
401.bzip2-38B_57,0.035768,1140512,0.027835,886128,0.021061,647744,0.015569,462848,0.011054,342880,0.007026,220896,0.003792,95360,0.000000,2928,0.000000,0,37433056
401.bzip2-38B_121,0.065547,1243760,0.052976,992544,0.042541,780304,0.033815,631712,0.024967,490864,0.014044,237744,0.003731,35136,0.000000,0,0.000000,0,21887856
401.bzip2-38B_162,0.035036,1187856,0.027042,914080,0.020329,664880,0.014898,477840,0.010504,342176,0.006599,198272,0.003426,100064,0.000000,0,0.000000,0,40187552
401.bzip2-38B_232,0.058590,1398512,0.046264,1095904,0.034731,771424,0.025150,542208,0.017217,385952,0.009223,200544,0.003182,45024,0.000000,0,0.000000,0,27147488
401.bzip2-38B_282,0.037599,1091872,0.029299,882000,0.023319,714736,0.018376,582336,0.013495,428944,0.008369,234576,0.004036,92752,0.000000,0,0.000000,0,36401248
401.bzip2-38B_347,0.035707,1096928,0.027896,862672,0.021000,614800,0.015386,444736,0.010871,321616,0.006965,211488,0.003853,93808,0.000314,12992,0.000000,0,35896576
401.bzip2-38B_408,0.058896,1394144,0.046752,1090000,0.036378,834720,0.027591,629728,0.019475,449920,0.010993,231008,0.003670,53600,0.000000,0,0.000000,0,27415872
401.bzip2-38B_461,0.031984,1227776,0.024784,969984,0.018987,738736,0.014227,538256,0.010077,394304,0.006050,207248,0.002693,90832,0.000000,0,0.000000,0,46643968
401.bzip2-38B_551,0.082756,1467776,0.065669,1150512,0.050230,855728,0.036866,603456,0.025760,419440,0.015081,261936,0.005684,51552,0.000985,23520,0.000000,0,20494368
401.bzip2-38B_594,0.035341,1455488,0.026492,1066784,0.019170,731408,0.013678,518768,0.009467,380144,0.005440,190992,0.001961,72736,0.000000,0,0.000000,0,48689888
401.bzip2-7B_0,0.060299,1505920,0.048400,1247984,0.036683,852320,0.026126,581824,0.016729,367120,0.008735,181888,0.001900,24288,0.000000,0,0.000000,0,28066240
401.bzip2-7B_58,0.038880,1110480,0.030093,922976,0.022099,558800,0.016058,429952,0.011298,313760,0.007026,174688,0.003487,86800,0.000000,0,0.000000,0,33275680
401.bzip2-7B_119,0.061520,1480768,0.050352,1252672,0.035646,691040,0.022587,415952,0.012579,267408,0.004707,65728,0.000253,7664,0.000000,0,0.000000,0,26518928
401.bzip2-7B_169,0.041626,962272,0.033571,758640,0.024357,486384,0.015996,285232,0.009955,174064,0.006294,106784,0.003731,68144,0.001046,23440,0.000000,0,24533648
401.bzip2-7B_214,0.062008,1903536,0.046081,1426032,0.032900,871632,0.023319,643168,0.015630,447168,0.008979,228688,0.003731,81760,0.000000,0,0.000000,0,34807568
401.bzip2-7B_282,0.038148,1150064,0.029849,898896,0.022221,656576,0.015630,420032,0.010810,287648,0.007148,200032,0.004097,106528,0.000436,13792,0.000000,0,35197040
401.bzip2-7B_349,0.079949,1215776,0.068049,1070400,0.052671,909488,0.036195,423952,0.022892,314176,0.010565,122096,0.001839,17152,0.000000,0,0.000000,0,17087856
401.bzip2-7B_383,0.066890,1369936,0.056455,1180464,0.043213,998064,0.029116,504064,0.016790,299552,0.006721,72032,0.001534,15328,0.000000,0,0.000000,0,22597728
401.bzip2-7B_427,0.039978,1201328,0.030459,915568,0.021366,569056,0.014349,364192,0.009467,253104,0.006111,150272,0.003609,100160,0.000741,21952,0.000000,0,34349664
401.bzip2-7B_492,0.070368,1429376,0.057492,1249088,0.041016,762448,0.026309,422192,0.016058,297184,0.007880,136256,0.001473,21424,0.000000,0,0.000000,0,23369840
401.bzip2-7B_536,0.060665,1464176,0.049498,1243456,0.037049,814544,0.025516,535792,0.015081,333008,0.006538,94464,0.001656,17872,0.000000,0,0.000000,0,27441680
401.bzip2-7B_593,0.046874,1661728,0.034853,1185696,0.023685,680096,0.015569,446144,0.010077,297984,0.006233,167488,0.003426,105440,0.000192,9264,0.000000,0,38309696
401.bzip2-7B_663,0.065486,1554928,0.054502,1379136,0.041565,893200,0.028872,569840,0.018071,356512,0.009650,188832,0.003426,41056,0.000000,0,0.000000,0,25637712
403.gcc-16B_0,0.849997,807104,0.845542,804608,0.834009,803968,0.742780,803216,0.358579,646176,0.000000,0,0.000000,0,0.000000,0,0.000000,0,957296
403.gcc-16B_8,0.801789,798704,0.795931,795680,0.782323,794416,0.689751,792896,0.323003,616032,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1007792
403.gcc-16B_16,0.813627,805472,0.808074,802944,0.795321,801936,0.704457,800720,0.337648,667008,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1001216
403.gcc-16B_24,0.808135,801600,0.802277,798848,0.789035,797856,0.697806,796496,0.335452,648576,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1003824
403.gcc-16B_32,0.853475,808112,0.848899,805584,0.837121,804864,0.744183,803968,0.354064,635408,0.000000,0,0.000000,0,0.000000,0,0.000000,0,954768
403.gcc-16B_40,0.818997,804464,0.813322,801456,0.800446,800432,0.709095,799184,0.340883,642752,0.000000,0,0.000000,0,0.000000,0,0.000000,0,993040
403.gcc-16B_48,0.731246,784464,0.723252,781024,0.707997,778880,0.620917,777024,0.296336,321360,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1092656
403.gcc-16B_56,0.777624,796704,0.770850,794064,0.757547,792464,0.670773,791072,0.322515,693792,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1040080
403.gcc-16B_64,0.720995,783232,0.712695,780352,0.698416,778256,0.616828,776416,0.298167,402672,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1108704
403.gcc-16B_72,0.667294,769232,0.657897,765488,0.641726,763088,0.561969,760688,0.272293,399552,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1180992
403.gcc-16B_80,0.727707,783248,0.719591,780096,0.704824,777968,0.619513,776240,0.295848,343056,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1097136
403.gcc-16B_88,0.782323,797024,0.775732,794848,0.762856,793088,0.675533,791744,0.323247,789312,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1033968
403.gcc-16B_96,0.774329,792656,0.767616,790432,0.754496,788736,0.666684,787280,0.315863,770160,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1039312
403.gcc-16B_104,0.774146,792784,0.767433,789888,0.754435,788368,0.668454,786976,0.323247,784288,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1039328
403.gcc-16B_112,0.770179,796704,0.763222,793728,0.749919,791744,0.663389,790080,0.317999,772832,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1050032
403.gcc-16B_120,0.810576,799936,0.804962,797840,0.792941,796240,0.704518,794848,0.336672,792320,0.000000,0,0.000000,0,0.000000,0,0.000000,0,998528
403.gcc-16B_128,0.732650,784416,0.724656,780864,0.710072,778704,0.624273,776688,0.296336,335280,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1090224
403.gcc-16B_136,0.760904,796928,0.753642,792720,0.740156,790304,0.655517,788944,0.317572,398032,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1062864
403.gcc-16B_144,0.790317,798848,0.783970,795248,0.771216,793488,0.683893,792208,0.328251,738832,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1023472
403.gcc-16B_152,0.781407,797136,0.774695,793504,0.761575,791968,0.674251,790720,0.323186,715488,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1034432
403.gcc-16B_160,0.784886,796144,0.778356,792048,0.765236,790160,0.677302,789152,0.323308,728320,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1027264
403.gcc-16B_168,0.778905,794224,0.772071,789856,0.758707,788032,0.671322,786864,0.321843,697168,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1033248
403.gcc-16B_176,0.263811,513328,0.247212,511552,0.191560,509984,0.094960,86240,0.051939,66160,0.037416,63936,0.024357,61168,0.014044,18560,0.005623,12624,2026208
403.gcc-16B_184,0.150796,439888,0.146769,433888,0.143962,428224,0.141643,425840,0.139324,417696,0.136212,408496,0.130659,399360,0.117295,366880,0.083244,287088,3034400
403.gcc-16B_191,0.186373,565888,0.182101,560336,0.179172,556560,0.177036,552544,0.174900,548064,0.172337,537984,0.168188,529680,0.159217,507824,0.136334,447552,3150320
403.gcc-16B_198,0.187227,570256,0.182955,564592,0.180148,560528,0.177951,556880,0.175877,551120,0.173375,542896,0.169408,534384,0.160682,512976,0.138164,455264,3156464
403.gcc-16B_205,0.186189,566800,0.181857,560992,0.178928,556480,0.176670,551856,0.174534,547568,0.172032,537920,0.168066,530352,0.159400,509984,0.136822,449824,3156400
403.gcc-16B_212,0.186251,566048,0.181796,559824,0.178806,555360,0.176487,550512,0.174229,545440,0.171666,536416,0.167516,527808,0.158607,507808,0.135540,446720,3152560
403.gcc-16B_219,0.185701,564624,0.181430,558864,0.178501,554496,0.176243,550000,0.174107,545584,0.171605,536048,0.167700,528528,0.158973,509472,0.136212,448336,3151968
403.gcc-16B_226,0.182894,562384,0.178562,556432,0.175633,552016,0.173375,547232,0.171239,541872,0.168798,533920,0.165015,525680,0.157082,505168,0.135907,457792,3188544
403.gcc-16B_233,0.183077,561824,0.178684,555776,0.175694,551392,0.173375,546416,0.171239,541568,0.168737,533344,0.164770,524720,0.156105,503616,0.134015,438992,3184368
403.gcc-16B_240,0.183932,563456,0.179660,557488,0.176670,553184,0.174351,548384,0.172093,542288,0.169591,533904,0.165686,525824,0.157082,507264,0.134564,446624,3176368
403.gcc-16B_247,0.184115,564992,0.179721,558544,0.176670,554256,0.174290,549136,0.172032,543088,0.169530,535040,0.165747,527184,0.157631,505520,0.135724,457488,3182848
403.gcc-16B_254,0.182406,558576,0.178134,552416,0.175144,548288,0.172825,542992,0.170629,537728,0.168127,529424,0.164099,521408,0.155434,499952,0.132977,436816,3174656
403.gcc-16B_261,0.184359,561776,0.180026,555568,0.176975,550800,0.174717,546208,0.172642,540976,0.170324,534832,0.166479,526848,0.157753,506512,0.134991,445056,3159040
403.gcc-16B_268,0.181064,543328,0.176731,537520,0.173985,533472,0.172093,530032,0.170568,529040,0.168859,523792,0.165747,517408,0.158119,499648,0.136639,447504,3113184
403.gcc-16B_275,0.186861,566336,0.182650,560720,0.179782,556400,0.177524,552144,0.175571,546752,0.173436,540240,0.169774,534176,0.161353,513648,0.138897,455232,3137936
403.gcc-16B_282,0.188813,573664,0.184542,567776,0.181552,563456,0.179172,559168,0.176975,552944,0.174473,545056,0.170568,536560,0.161841,517184,0.138958,457616,3147728
403.gcc-16B_289,0.186861,566656,0.182589,561456,0.179660,557200,0.177341,552688,0.175205,547008,0.172764,539472,0.168920,531392,0.160255,511760,0.137371,453152,3144784
403.gcc-16B_296,0.187227,566112,0.182833,559904,0.179843,555648,0.177463,551408,0.175205,545248,0.172703,537360,0.168676,528992,0.159828,507584,0.136700,449056,3134896
403.gcc-16B_303,0.188386,570880,0.184054,564736,0.181125,560576,0.178745,556352,0.176548,550096,0.174046,542224,0.170140,534048,0.161475,514896,0.138714,455456,3139472
403.gcc-16B_310,0.188569,569024,0.184054,562528,0.180942,557792,0.178440,553536,0.176121,546464,0.173619,539312,0.169713,530928,0.160987,511152,0.137920,452624,3129568
403.gcc-16B_317,0.191071,578448,0.186251,569552,0.182833,563744,0.180026,558336,0.177463,550800,0.174778,542624,0.170812,535376,0.162024,515520,0.139263,455856,3135392
403.gcc-16B_324,0.189302,570608,0.184847,564560,0.181796,559712,0.179416,555664,0.177158,548160,0.174595,540464,0.170507,533184,0.161536,513264,0.138286,450368,3126208
403.gcc-16B_331,0.190339,573536,0.185945,567760,0.182894,563008,0.180575,558256,0.178379,553280,0.175877,544240,0.171849,536464,0.162940,517344,0.139690,456016,3122816
403.gcc-16B_338,0.190156,571904,0.185640,565696,0.182467,561040,0.179965,554976,0.177646,548432,0.175205,541856,0.171300,534720,0.162574,515056,0.139446,454512,3119632
403.gcc-16B_345,0.030276,544432,0.028262,527392,0.026981,508080,0.026065,496704,0.025333,491360,0.024296,481088,0.022099,441776,0.017095,322320,0.004036,206176,19777552
403.gcc-16B_382,0.039185,525392,0.037355,521904,0.036195,509920,0.035524,506912,0.035097,506096,0.034853,505344,0.034425,504064,0.031374,502288,0.017766,438160,14588224
403.gcc-16B_405,0.076470,516480,0.072870,512960,0.070673,510688,0.068720,504736,0.065913,481424,0.060665,458880,0.052793,345952,0.044250,288624,0.029788,252208,7386800
403.gcc-16B_418,0.107897,587552,0.103259,582928,0.099720,574992,0.095509,557472,0.089468,512736,0.082084,445376,0.073419,407200,0.061214,352224,0.040284,241488,5870224
403.gcc-16B_428,0.080620,531136,0.076775,526800,0.074701,521696,0.073480,519504,0.072687,518880,0.071771,516384,0.070551,502624,0.065913,494064,0.042297,471120,7192080
403.gcc-16B_440,0.106799,395520,0.104968,394256,0.103809,391904,0.102527,390288,0.099415,387152,0.093374,346160,0.085258,302944,0.074823,269568,0.053282,232992,3814432
403.gcc-16B_447,0.113511,5216,0.110704,5216,0.109362,5216,0.108629,5216,0.107226,5216,0.098744,5216,0.062313,4112,0.000000,0,0.000000,0,48288
403.gcc-16B_450,0.082145,339568,0.075799,332736,0.072077,329872,0.069514,322928,0.067378,315712,0.065486,302752,0.063716,298848,0.060421,293456,0.051451,269040,4773728
403.gcc-16B_460,0.185945,588320,0.179843,580448,0.174229,572320,0.164343,558352,0.147684,476368,0.128279,375808,0.106616,332784,0.075799,242880,0.042297,77952,3323056
403.gcc-16B_467,0.058529,584160,0.052854,563536,0.049742,552880,0.048034,547696,0.047118,545440,0.046508,544096,0.046081,542368,0.045349,538688,0.042175,530656,11827648
403.gcc-16B_488,0.928290,526880,0.926764,526880,0.925971,526880,0.925544,526880,0.925360,526880,0.925238,526880,0.925177,526880,0.925177,526880,0.925116,526880,569520
403.gcc-16B_491,0.103870,848384,0.086600,777376,0.074456,682784,0.064083,628848,0.055417,469680,0.049864,455248,0.046691,452320,0.044494,447744,0.041382,432208,10340592
403.gcc-16B_511,0.111192,640896,0.109240,638736,0.106677,628816,0.099232,604864,0.073968,539856,0.021855,60640,0.000000,0,0.000000,0,0.000000,0,5899600
403.gcc-16B_520,0.165625,398752,0.162757,397568,0.160377,396736,0.157143,392288,0.150735,369888,0.135235,357664,0.112657,218256,0.095021,190976,0.085074,189616,2481968
403.gcc-16B_526,0.031313,579136,0.029544,576544,0.028445,573840,0.026920,561072,0.021122,556400,0.009101,92656,0.000192,912,0.000000,0,0.000000,0,20687888
403.gcc-16B_561,0.033510,580896,0.031557,578384,0.030398,576048,0.028750,560496,0.022892,547040,0.010382,116736,0.001046,7088,0.000000,0,0.000000,0,19400784
403.gcc-16B_594,0.030947,573008,0.029238,569856,0.028201,567184,0.026675,555536,0.021000,551184,0.008918,94416,0.000863,7136,0.000000,0,0.000000,0,20628208
403.gcc-16B_629,0.031862,572224,0.030032,569696,0.028994,566736,0.027469,554464,0.021611,550032,0.008857,91616,0.000497,3648,0.000000,0,0.000000,0,20055088
403.gcc-16B_663,0.031191,576208,0.029422,573680,0.028445,571840,0.027042,560064,0.021489,555856,0.008613,104560,0.000436,2720,0.000000,0,0.000000,0,20587648
403.gcc-16B_698,0.032351,581872,0.030520,579632,0.029483,577136,0.027896,564208,0.021977,559392,0.009284,89040,0.001595,12656,0.000000,0,0.000000,0,20086016
403.gcc-17B_0,0.101429,838672,0.088309,794800,0.077202,708608,0.062923,626880,0.041870,358416,0.025699,165760,0.018315,140384,0.013495,124000,0.003731,97888,9950656
403.gcc-17B_17,0.109545,442640,0.107470,441056,0.105029,434832,0.099110,413312,0.077752,395520,0.023563,57872,0.000000,0,0.000000,0,0.000000,0,4150624
403.gcc-17B_25,0.030947,477632,0.029116,475488,0.028079,473360,0.026614,464288,0.021244,460528,0.010077,92336,0.001717,18944,0.000000,0,0.000000,0,17318512
403.gcc-17B_54,0.032107,592144,0.030215,589200,0.029055,586064,0.027469,570176,0.021794,559120,0.009528,114384,0.000497,5232,0.000000,0,0.000000,0,20674176
403.gcc-17B_88,0.030703,584656,0.028872,582128,0.027835,579424,0.026370,567136,0.020817,560720,0.008857,105392,0.000375,3232,0.000000,0,0.000000,0,21362112
403.gcc-17B_123,0.031496,582112,0.029666,579744,0.028628,577584,0.027164,564576,0.021611,560608,0.009284,102000,0.000680,3616,0.000000,0,0.000000,0,20681088
403.gcc-17B_157,0.029605,579888,0.027896,577264,0.026920,575504,0.025455,562784,0.020024,558752,0.007758,81552,0.000131,1184,0.000000,0,0.000000,0,21942416
403.gcc-17B_193,0.031130,577936,0.029361,575568,0.028323,573312,0.026859,561040,0.021183,556432,0.008918,100992,0.001473,12432,0.000000,0,0.000000,0,20742752
403.gcc-17B_227,0.030703,567008,0.028933,564576,0.027896,562320,0.026431,549904,0.021000,545904,0.009040,108896,0.000619,5104,0.000000,0,0.000000,0,20680256
403.gcc-17B_261,0.032290,575456,0.030337,572816,0.029238,570192,0.027652,557760,0.021672,552560,0.009406,89856,0.001351,9984,0.000000,0,0.000000,0,20016832
403.gcc-17B_294,0.030703,567664,0.028872,564880,0.027835,562336,0.026309,548832,0.020451,545280,0.008247,77680,0.000558,2064,0.000000,0,0.000000,0,20740016
403.gcc-17B_328,0.030337,577776,0.028567,575488,0.027530,573088,0.026126,560768,0.020695,556640,0.008796,98480,0.001168,10448,0.000000,0,0.000000,0,21339392
403.gcc-17B_363,0.030825,584784,0.028994,581568,0.027896,578704,0.026370,566096,0.020695,561664,0.008674,93888,0.000741,5488,0.000000,0,0.000000,0,21329424
403.gcc-17B_398,0.030825,569600,0.029055,566880,0.028018,564800,0.026553,553024,0.021122,548400,0.009650,113280,0.001412,8016,0.000000,0,0.000000,0,20677776
403.gcc-17B_432,0.030764,568256,0.028994,565664,0.027957,563232,0.026492,551168,0.021000,546960,0.009467,110336,0.001290,10528,0.000000,0,0.000000,0,20679424
403.gcc-17B_466,0.030459,578448,0.028628,574864,0.027591,572544,0.026004,559824,0.020268,554848,0.008674,88128,0.001168,6032,0.000000,2720,0.000000,0,21324176
403.gcc-17B_501,0.027957,580096,0.026370,577552,0.025455,575440,0.024174,564192,0.019292,559824,0.008369,108912,0.000680,4768,0.000000,0,0.000000,0,23188688
403.gcc-17B_539,0.028506,573696,0.026859,570688,0.025882,568464,0.024540,555504,0.019658,550768,0.009223,115536,0.001351,8208,0.000000,0,0.000000,0,22512896
403.gcc-17B_576,0.030032,571536,0.028262,567936,0.027225,565424,0.025638,552784,0.019963,547264,0.008491,91632,0.000497,1808,0.000000,0,0.000000,0,21355056
403.gcc-17B_611,0.028994,581776,0.027286,578768,0.026248,576288,0.024784,563408,0.019475,558768,0.008369,90688,0.000924,7616,0.000000,0,0.000000,0,22569328
403.gcc-17B_648,0.026675,562384,0.025089,558944,0.024174,556576,0.022892,545552,0.018071,539600,0.006660,84064,0.000192,896,0.000000,0,0.000000,0,23687184
403.gcc-17B_687,0.025882,560208,0.024357,557216,0.023502,554896,0.022282,544320,0.017827,538272,0.006538,85824,0.000253,1184,0.000000,0,0.000000,0,24289024
403.gcc-48B_0,0.015020,408288,0.003121,192976,0.001473,128784,0.000680,54368,0.000375,34096,0.000131,21040,0.000000,0,0.000000,0,0.000000,0,129598224
403.gcc-48B_219,0.083854,552320,0.073907,515600,0.066707,464576,0.060665,434512,0.055051,389088,0.050047,346720,0.045226,326688,0.039185,287664,0.028872,218848,7605360
410.bwaves-1963B_0,0.003121,26784,0.002754,26784,0.002388,26784,0.001229,26784,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,10980528
410.bwaves-1963B_14,0.003060,28368,0.002693,28368,0.002388,28368,0.001168,28368,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11766624
410.bwaves-1963B_29,0.003182,29104,0.002754,29104,0.002449,29104,0.001290,29104,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11768448
410.bwaves-1963B_44,0.003060,28080,0.002693,28080,0.002327,28080,0.001107,28080,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11765936
410.bwaves-1963B_59,0.003121,28704,0.002754,28704,0.002388,28704,0.001229,28704,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11765840
410.bwaves-1963B_74,0.003121,28880,0.002754,28880,0.002388,28880,0.001229,28880,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11768448
410.bwaves-1963B_89,0.002999,27424,0.002632,27424,0.002266,27424,0.001046,27424,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11766352
410.bwaves-1963B_104,0.003121,28480,0.002754,28480,0.002388,28480,0.001168,28480,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11766448
410.bwaves-1963B_119,0.003121,28640,0.002754,28640,0.002388,28640,0.001229,28640,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,11762928
410.bwaves-1963B_134,0.007514,58960,0.006782,58960,0.006416,58960,0.006172,58960,0.005684,58960,0.004951,36960,0.004402,36960,0.004097,36960,0.003853,36960,9725008
410.bwaves-1963B_148,0.105029,271712,0.104358,271712,0.104053,271632,0.103809,271408,0.103747,271408,0.103686,271408,0.103259,271408,0.098683,271408,0.083610,264480,2619616
410.bwaves-1963B_161,0.027530,295968,0.025882,270448,0.024845,270352,0.024235,270256,0.023868,270000,0.023563,269664,0.022709,268832,0.021489,223760,0.020268,217616,11448928
410.bwaves-1963B_176,0.049620,565776,0.047240,565776,0.045715,536320,0.044738,536320,0.044189,536320,0.043884,536320,0.043640,536320,0.043152,536320,0.042541,508144,12302800
410.bwaves-1963B_191,0.049437,564192,0.047118,564192,0.045654,536016,0.044677,536016,0.044189,536016,0.043884,536016,0.043640,536016,0.043091,536016,0.042480,507456,12299984
410.bwaves-1963B_206,0.049864,568960,0.047545,568960,0.046020,540560,0.045043,540560,0.044494,540560,0.044250,540560,0.043945,540560,0.043457,540560,0.042847,512304,12305504
